countrynewwb,year,account_t_d,pop_adult,mobileaccount_t_d,internet,Predicted_Adoption
Brazil,2017,0.700439481,158478074.0,0.048365306,,0.09874176056000007
Bulgaria,2017,0.722040294,6128150.0,,,0.2875071180600001
Burkina Faso,2017,0.431599923,10570484.0,0.330227985,,0.32031367332000016
Cambodia,2017,0.216717841,10807431.0,0.056595087,,0.06722910317999993
Cameroon,2017,0.345907909,13358414.0,0.151378299,,0.16507571529999981
Canada,2017,0.997268802,30253020.0,,,0.1814911642400003
Central African Republic,2017,0.137459464,2404000.0,,,0.12098770922736447
Chad,2017,0.217591927,7782131.0,0.152334098,,0.14179047172000014
Chile,2017,0.743492432,14675996.0,0.18670815,,0.17716654497999998
China,2017,0.795313411,1133758537.0,,,0.07896523285000007
Colombia,2017,0.457592285,36092425.0,0.047374512,,0.06607863419000011
"Congo, Dem. Rep.",2017,0.25825675,45407203.0,0.160963406,,0.15274629945000007
"Congo, Rep.",2017,0.260927488,3026298.0,0.062384391,,0.12530070454000014
Costa Rica,2017,0.678383576,3790388.0,,,0.17772357662000013
Cote d'Ivoire,2017,0.413309552,14983416.0,0.340531734,,0.2971755948099999
Croatia,2017,0.861434539,3508155.0,,,0.07403757955000008
Cyprus,2017,0.887157641,1039880.0,,,0.10894728284999995
Czechia,2017,0.80992266,8934395.0,,,0.07505507751999999
Denmark,2017,0.999173727,4767144.0,,,0.11800364612999992
Dominican Republic,2017,0.56239191,7508555.0,0.038946795,,0.17279776777000008
Ecuador,2017,0.512460172,11800828.0,0.029369748,,0.21089074636000008
"Egypt, Arab Rep.",2017,0.327843607,66961302.0,0.017920163,,0.13211643242999999
El Salvador,2017,0.303529471,4464670.0,0.035496148,,0.12880488666736448
Estonia,2017,0.979939712,1103273.0,,,0.06593245902000003
Ethiopia,2017,0.348275699,61575604.0,0.003159289,,0.1329102102999998
Finland,2017,0.997854185,4600229.0,,,0.3133804612499997
France,2017,0.94004046,54658275.0,,,0.14085734831000013
Gabon,2017,0.586019984,1332068.0,0.435779884,,0.43595918723999966
"Gambia, The",2017,0.285604825,1294272.0,,,0.13372345096999994
Georgia,2017,0.612304463,2987888.0,0.022010216,,0.12967099994000006
Germany,2017,0.99141186,71374479.0,,,0.1850189260081263
Ghana,2017,0.577175264,18083712.0,0.389477818,,0.41972740283000015
Greece,2017,0.854665211,9220190.0,,,0.09270210272999996
Guatemala,2017,0.441070072,10430246.0,0.02126406,,0.05484797931000002
Guinea,2017,0.23486035,6873506.0,0.137804687,,0.13483652932999982
Haiti,2017,0.326211865,7048972.0,0.135171894,,0.12240266453000018
Honduras,2017,0.453429696,6185475.0,0.061960126,,0.10314008012999996
"Hong Kong SAR, China",2017,0.952832589,6493265.0,,,0.20077895980999996
Hungary,2017,0.749449653,8389859.0,,,0.06874323994999998
India,2017,0.798753285,962463650.0,0.019945431,,0.06351757218
Indonesia,2017,0.488574509,193777030.0,0.031239157,,0.07358375700999993
"Iran, Islamic Rep.",2017,0.939819167,63892824.0,0.262966091,,0.20936237860999973
Iraq,2017,0.226651525,23052127.0,0.042147556,,0.13438552642999993
Ireland,2017,0.953404529,3749429.0,,,0.06062375976000003
Israel,2017,0.928149668,6131598.0,,,0.21859281019000004
Italy,2017,0.9378502,52409524.0,,,0.06282498132000006
Japan,2017,0.98243392,110907804.0,,,0.062224655130000056
Jordan,2017,0.424930235,6558247.0,0.010609684,,0.24857422740999982
Kazakhstan,2017,0.586975352,13196334.0,,,0.5681569505800007
Kenya,2017,0.815675646,28150345.0,0.729316807,,0.7307394687966512
"Korea, Rep.",2017,0.948510127,44377468.0,,,0.053053211170000045
Kosovo,2017,0.522733969,1328163.0,,,0.15833873354000005
Kuwait,2017,0.798401514,3138850.0,,,0.10021014403999998
Kyrgyz Republic,2017,0.399420035,4195979.0,0.031068763,,0.07586740155000009
Lao PDR,2017,0.290564189,4638548.0,,,0.18762356804999997
Latvia,2017,0.932224723,1657658.0,,,0.23116162677999988
Lebanon,2017,0.447514245,4654352.0,,,0.2504025214599999
Lesotho,2017,0.455638157,1350411.0,0.276418432,,0.27707281888999985
Liberia,2017,0.357138397,2745577.0,0.208433919,,0.18686637998000033
Libya,2017,0.656675223,4585159.0,,,0.15228719409999994
Lithuania,2017,0.828838485,2445393.0,,,0.1364078101599999
Luxembourg,2017,0.987678547,486845.0,,,0.0959206662199999
Madagascar,2017,0.178678713,15245537.0,0.120553027,,0.11489228685999991
Malawi,2017,0.337139337,9645161.0,0.203028317,,0.2042777755500001
Malaysia,2017,0.853437476,23682698.0,0.108763332,,0.13630663070000007
Maldives,2017,0.795464095,342024.0,0.233007872,,0.08121387928000001
Mali,2017,0.354166789,9985747.0,0.243976486,,0.23679005303000022
Malta,2017,0.973629103,390899.0,,,0.06778399633000003
Mauritania,2017,0.208725063,2278505.0,0.04012378,,0.09943455624000004
Mauritius,2017,0.898425267,1031251.0,0.056269371,,0.11276143011000007
Mexico,2017,0.360417667,88534114.0,0.053232777,,0.06838716334999993
Moldova,2017,0.437856521,2278507.0,,,0.26020215591999984
Mongolia,2017,0.929711716,2155814.0,0.218971478,,0.21902447978000006
Montenegro,2017,0.68361794,506847.0,,,0.04541873697999996
Morocco,2017,0.286444592,24894226.0,0.006392115,,0.047843622139999986
Mozambique,2017,0.416701038,14874137.0,0.218668208,,0.23793211016000027
Myanmar,2017,0.25992298,38000865.0,0.006904999,,0.14131314559736438
Namibia,2017,0.806334991,1547830.0,0.434294697,,0.43298086586999956
Nepal,2017,0.453855766,18869412.0,,,0.09105781236000018
Netherlands,2017,0.996376136,14234525.0,,,0.20465814948736466
New Zealand,2017,0.991784474,3788624.0,,,0.0752270344200001
Nicaragua,2017,0.308619915,4249427.0,0.039274168,,0.07718301699000008
Niger,2017,0.15523245,10546918.0,0.087172383,,0.12811656401736454
Nigeria,2017,0.396668587,109170774.0,0.056061652,,0.12134088910000013
North Macedonia,2017,0.765687709,1567300.0,,,0.10442031262999993
Norway,2017,0.997451401,4298959.0,,,0.14341828275999982
Pakistan,2017,0.212932449,135055510.0,0.068855579,,0.07696772682000003
Panama,2017,0.464942617,2915245.0,0.035031686,,0.12641313491999998
Paraguay,2017,0.486468607,4382299.0,0.28881767,,0.2358310167500001
Peru,2017,0.42603181,22473210.0,0.026341662,,0.055267678680000064
Philippines,2017,0.344984076,71585383.0,0.04521299,,0.06238674532999991
Poland,2017,0.86733303,32223349.0,,,0.10253539409
Portugal,2017,0.923409885,8871342.0,,,0.07133382843999991
Romania,2017,0.577518052,16606939.0,0.029901696,,0.11870816544999986
Russian Federation,2017,0.757588881,120066877.0,,,0.27385640156999985
Rwanda,2017,0.500197937,7050113.0,0.311146415,,0.31121146243999975
Saudi Arabia,2017,0.716981166,23241801.0,,,0.25196926658999996
Senegal,2017,0.423440154,8705549.0,0.317980906,,0.3102559707699997
Serbia,2017,0.714410465,6046629.0,,,0.16526174516999986
Sierra Leone,2017,0.198087606,4219730.0,0.110186137,,0.09375671458000001
Singapore,2017,0.97931171,4905185.0,0.09548008,,0.12882343317999992
Slovak Republic,2017,0.841815883,4594115.0,,,0.15999281192000006
Slovenia,2017,0.975334004,1756994.0,,,0.18335063186
